Date,Close
8/1/2019 16:00:00,19.12
8/2/2019 16:00:00,19.19
8/5/2019 16:00:00,18.4
8/6/2019 16:00:00,18.97
8/7/2019 16:00:00,18.84
8/8/2019 16:00:00,18.8
8/9/2019 16:00:00,18.15
8/12/2019 16:00:00,17.7
8/13/2019 16:00:00,17.83
8/14/2019 16:00:00,16.96
8/15/2019 16:00:00,16.5
8/16/2019 16:00:00,16.79
8/19/2019 16:00:00,16.85
8/20/2019 16:00:00,16.74
8/21/2019 16:00:00,16.92
8/22/2019 16:00:00,17.14
8/23/2019 16:00:00,16.15
8/26/2019 16:00:00,16.31
8/27/2019 16:00:00,16.12
8/28/2019 16:00:00,16.5
8/29/2019 16:00:00,16.96
8/30/2019 16:00:00,16.92
9/3/2019 16:00:00,16.88
9/4/2019 16:00:00,17.24
9/5/2019 16:00:00,17.91
9/6/2019 16:00:00,17.78
9/9/2019 16:00:00,18.32
9/10/2019 16:00:00,18.6
9/11/2019 16:00:00,19.14
9/12/2019 16:00:00,19.23
9/13/2019 16:00:00,19.07
9/16/2019 16:00:00,19.02
9/17/2019 16:00:00,19.02
9/18/2019 16:00:00,18.89
9/19/2019 16:00:00,18.42
9/20/2019 16:00:00,17.98
9/23/2019 16:00:00,17.99
9/24/2019 16:00:00,17.66
9/25/2019 16:00:00,17.85
9/26/2019 16:00:00,17.97
9/27/2019 16:00:00,17.79
9/30/2019 16:00:00,18.13
10/1/2019 16:00:00,18.01
10/2/2019 16:00:00,17.52
10/3/2019 16:00:00,17.5
10/4/2019 16:00:00,17.59
10/7/2019 16:00:00,17.47
10/8/2019 16:00:00,17.35
10/9/2019 16:00:00,17.75
10/10/2019 16:00:00,17.85
10/11/2019 16:00:00,18.26
10/14/2019 16:00:00,18.23
10/15/2019 16:00:00,18.46
10/16/2019 16:00:00,18.36
10/17/2019 16:00:00,18.46
10/18/2019 16:00:00,17.81
10/21/2019 16:00:00,18.17
10/22/2019 16:00:00,19.42
10/23/2019 16:00:00,19.01
10/24/2019 16:00:00,19.01
10/25/2019 16:00:00,19.06
10/28/2019 16:00:00,19.04
10/29/2019 16:00:00,18.72
10/30/2019 16:00:00,18.62
10/31/2019 16:00:00,18.5
11/1/2019 16:00:00,18.91
11/4/2019 16:00:00,15.44
11/5/2019 16:00:00,16.31
11/6/2019 16:00:00,16.51
11/7/2019 16:00:00,16.08
11/8/2019 16:00:00,15.88
11/11/2019 16:00:00,15.96
11/12/2019 16:00:00,15.58
11/13/2019 16:00:00,15.67
11/14/2019 16:00:00,15.56
11/15/2019 16:00:00,15.97
11/18/2019 16:00:00,15.72
11/19/2019 16:00:00,15.61
11/20/2019 16:00:00,15.43
11/21/2019 16:00:00,15.24
11/22/2019 16:00:00,15.66
11/25/2019 16:00:00,15.67
11/26/2019 16:00:00,16.47
11/27/2019 16:00:00,17.49
11/29/2019 13:00:00,17.3
12/2/2019 16:00:00,16.87
12/3/2019 16:00:00,16.63
12/4/2019 16:00:00,17.01
12/5/2019 16:00:00,17.2
12/6/2019 16:00:00,17.44
12/9/2019 16:00:00,17.69
12/10/2019 16:00:00,17.69
12/11/2019 16:00:00,17.51
12/12/2019 16:00:00,17.51
12/13/2019 16:00:00,17.78
12/16/2019 16:00:00,18.59
12/17/2019 16:00:00,18.69
12/18/2019 16:00:00,19.03
12/19/2019 16:00:00,19.01
12/20/2019 16:00:00,19.3
12/23/2019 16:00:00,19.37
12/24/2019 13:00:00,19.4
12/26/2019 16:00:00,19.55
12/27/2019 16:00:00,19.25
12/30/2019 16:00:00,18.99
12/31/2019 16:00:00,19.18
1/2/2020 16:00:00,19.24
1/3/2020 16:00:00,19.27
1/6/2020 16:00:00,18.37
1/7/2020 16:00:00,18.59
1/8/2020 16:00:00,18.16
1/9/2020 16:00:00,17.78
1/10/2020 16:00:00,17.77
1/13/2020 16:00:00,18.04
1/14/2020 16:00:00,18.76
1/15/2020 16:00:00,18.9
1/16/2020 16:00:00,19.02
1/17/2020 16:00:00,18.37
1/21/2020 16:00:00,18.09
1/22/2020 16:00:00,18.31
1/23/2020 16:00:00,18.78
1/24/2020 16:00:00,18.61
1/27/2020 16:00:00,18.45
1/28/2020 16:00:00,18.68
1/29/2020 16:00:00,18.68
1/30/2020 16:00:00,18.55
1/31/2020 16:00:00,17.96
2/3/2020 16:00:00,17.98
2/4/2020 16:00:00,18.42
2/5/2020 16:00:00,18.5
2/6/2020 16:00:00,18.4
2/7/2020 16:00:00,17.97
2/10/2020 16:00:00,18.15
2/11/2020 16:00:00,15.12
2/12/2020 16:00:00,15.45
2/13/2020 16:00:00,15.13
2/14/2020 16:00:00,15.45
2/18/2020 16:00:00,15
2/19/2020 16:00:00,14.96
2/20/2020 16:00:00,14.94
2/21/2020 16:00:00,14.57
2/24/2020 16:00:00,14.14
2/25/2020 16:00:00,13.46
2/26/2020 16:00:00,13.04
2/27/2020 16:00:00,12.55
2/28/2020 16:00:00,12.48
3/2/2020 16:00:00,12.49
3/3/2020 16:00:00,12.2
3/4/2020 16:00:00,12.39
3/5/2020 16:00:00,11.73
3/6/2020 16:00:00,11.14
3/9/2020 16:00:00,9.91
3/10/2020 16:00:00,10.29
3/11/2020 16:00:00,9.99
3/12/2020 16:00:00,8.75
3/13/2020 16:00:00,9.48
3/16/2020 16:00:00,8.33
3/17/2020 16:00:00,8.96
3/18/2020 16:00:00,7.39
3/19/2020 16:00:00,8.01
3/20/2020 16:00:00,7.23
3/23/2020 16:00:00,7.14
3/24/2020 16:00:00,8.01
3/25/2020 16:00:00,8.24
3/26/2020 16:00:00,8.76
